,stim,Image size (pixels),Aspect ratio,RMS contrast,Lightness entropy,Complexity,Edge density,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Color entropy,Mirror symmetry,Balance,DCM distance,DCM x position,DCM y position,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Fourier slope,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Homogeneity,Anisotropy,1st-order EOE,2nd-order EOE,Sparseness,Variability,gray_scale,upscaled,external_color_profile_found,hits,misses,false_alarms,correct_rejections,FAR,HR,CR,memorability,bias,distinctiveness_early,distinctiveness_mid,distinctiveness_late
27,1040_phasescrambled.jpg,512,1.0,19.507,7.571,11.51,107.687,169.736,156.573,149.304,65.135,4.601,6.296,0.05479,0.2176,0.6879,42.755,54.175,60.736,19.507,7.663,10.653,0.2553,0.2082,0.1701,6.659,15.901,10.631,12.128,-0.01562,0.05859,0.7414,0.6203,0.617,-4.084,0.4484,1.384,2.607,0.8894,0.8719,90.632,0.0004083,3.185,3.703,0.0001756,4.145e-06,0,1,0,53,25,33,45,0.4230769230769231,0.6794871794871795,0.25641025641025644,-0.011776892554945406,0.0714239741634286,0.058491401882181854,0.17660957611958625,0.3248345838196054
28,332_phasescrambled.jpg,512,1.0,24.596,7.873,14.353,113.493,117.64,122.886,135.462,50.429,0.8902,-7.392,0.6017,0.1898,0.5358,60.657,60.996,64.741,24.596,3.506,6.737,0.1223,0.1566,0.2507,6.084,21.356,7.267,8.043,-0.03516,-0.01953,0.6877,0.7239,0.678,-3.747,0.5204,1.439,2.65,0.8891,0.8851,91.869,0.0002186,4.35,4.53,0.0001563,3.642e-06,0,1,0,56,22,28,50,0.358974358974359,0.717948717948718,0.358974358974359,0.05173006863984181,0.03198675132566364,0.057988266950227456,0.2552394436636761,0.42168260412808267
29,1476_phasescrambled.jpg,512,1.0,31.058,7.805,8.764,84.573,149.119,146.576,137.977,59.146,-0.2695,5.241,0.1385,0.2303,0.601,76.28,78.54,83.657,31.058,2.43,8.886,0.209,0.2399,0.3016,6.086,18.031,15.843,22.777,-0.01172,0.1133,0.7161,0.5187,0.5128,-4.11,0.3993,1.049,2.529,0.811,0.8203,83.843,0.0005837,2.859,3.346,0.0002025,6.438e-06,0,1,0,60,18,32,46,0.41025641025641024,0.7692307692307693,0.35897435897435903,0.07390464044131773,0.10103735547081982,0.029883230395737377,0.1735012955149219,0.40276960771947645
30,570_phasescrambled.jpg,512,1.0,23.176,7.727,7.789,78.119,124.091,139.332,169.563,57.11,3.131,-18.1844,0.6188,0.3115,0.6679,60.505,62.551,50.631,23.176,6.974,12.195,0.09467,0.2082,0.2001,5.824,47.682,8.365,4.555,0.01172,-0.01953,0.6973,0.6782,0.6809,-4.225,0.2954,1.182,2.461,0.8316,0.8677,95.943,0.0004839,3.734,4.127,0.000278,4.665e-06,0,1,0,44,34,27,51,0.34615384615384615,0.5641025641025641,0.21794871794871795,-0.07924819123714633,-0.04973044418318584,0.05476515806413396,0.27036015196723834,0.44532385819641407
31,892_phasescrambled.jpg,512,1.0,16.869,7.484,25.77,158.321,114.173,115.834,93.058,48.858,2.063,11.605,0.2479,0.6009,0.5907,63.27,42.515,63.746,16.869,11.439,37.699,0.2697,0.2515,0.1995,6.543,33.813,4.452,4.555,0.01172,0.01953,0.6649,0.6566,0.6193,-3.099,0.7776,1.974,2.843,0.9219,0.8571,98.337,0.0001335,4.574,4.573,0.000123,5.11e-06,0,1,0,52,26,23,55,0.2948717948717949,0.6666666666666666,0.37179487179487175,0.035415000881325875,-0.04846699981282154,0.1029259177120155,0.31305085213132433,0.35772010157325973
32,697_phasescrambled.jpg,512,1.0,18.566,7.601,16.632,138.862,128.552,120.926,74.494,50.015,-3.25,25.754,0.143,0.4915,0.5198,50.092,47.396,43.907,18.566,8.374,16.855,0.07873,0.2213,0.1823,5.665,26.299,3.195,4.555,0.01172,-0.01953,0.6831,0.6738,0.6572,-3.994,0.4668,1.618,2.679,0.923,0.7895,97.839,0.0001939,4.553,4.564,0.0001517,4.613e-06,0,1,0,53,25,23,55,0.2948717948717949,0.6794871794871795,0.38461538461538464,0.04681814787465499,-0.04260749576986156,0.06712289455978979,0.23450438378473767,0.3381484455258438
33,282_phasescrambled.jpg,512,1.0,19.539,7.614,10.69,86.812,86.579,83.012,100.462,35.482,5.612,-9.246,0.7263,0.2754,0.4045,49.442,45.428,53.14,19.539,3.696,8.346,0.1383,0.1861,0.2035,6.567,29.531,11.884,18.238,0.08984,0.01562,0.666,0.7015,0.6498,-3.9,0.4202,1.399,2.637,0.8995,0.8744,94.443,0.0002528,4.359,4.531,0.0001673,3.618e-06,0,1,0,52,26,33,45,0.4230769230769231,0.6666666666666666,0.24358974358974356,-0.023180039548274467,0.06556447012046851,0.053771621271983094,0.2552394436636761,0.3314841877554215
34,807_phasescrambled.jpg,512,1.0,17.064,7.582,14.76,104.988,60.142,92.651,132.542,38.415,2.619,-24.0273,0.5545,0.5842,0.5428,32.198,40.024,76.063,17.064,9.947,25.745,0.145,0.1942,0.2705,5.744,22.326,7.643,4.752,0.003906,-0.02344,0.7739,0.6451,0.6409,-3.432,0.656,1.666,2.755,0.9161,0.8743,94.854,0.000272,3.495,4.068,0.0001957,5.123e-06,0,1,0,53,25,25,53,0.32051282051282054,0.6794871794871795,0.358974358974359,0.03509913978873491,-0.019801201783203548,0.06803091382127803,0.2661639627586186,0.32261968893685794
35,737_phasescrambled.jpg,512,1.0,19.465,7.582,11.283,103.681,123.773,165.321,172.769,64.899,-10.7238,-7.865,0.4951,0.347,0.7013,55.327,51.686,59.248,19.465,5.198,13.622,0.1125,0.2097,0.2129,6.02,26.96,10.691,16.087,-0.03906,0.07031,0.6921,0.6814,0.6607,-4.192,0.3653,1.433,2.63,0.8696,0.877,95.666,0.0002775,4.152,4.454,0.0002091,5.076e-06,0,1,0,54,24,25,53,0.32051282051282054,0.6923076923076923,0.37179487179487175,0.04650228678206386,-0.013941697740243453,0.07094618328034155,0.22813119380937238,0.3433247302340853
36,794_phasescrambled.jpg,512,1.0,23.06,7.786,15.651,108.232,88.643,93.945,107.671,38.854,1.196,-8.042,0.6051,0.2613,0.43,55.972,55.417,65.338,23.06,5.693,8.557,0.1473,0.176,0.2496,6.768,35.741,13.927,18.912,0.07422,0.05859,0.6717,0.6928,0.6489,-3.515,0.5673,1.52,2.728,0.9038,0.8788,93.784,0.0001912,4.407,4.542,0.0001392,3.683e-06,0,1,0,45,33,19,59,0.24358974358974358,0.5769230769230769,0.33333333333333326,-0.020969011900137058,-0.13509611608685795,0.057988266950227456,0.31853599908835023,0.43107540048294235
37,1575_phasescrambled.jpg,512,1.0,22.0,7.795,13.968,97.488,120.119,102.32,55.917,43.412,2.003,26.519,0.1226,0.5718,0.4942,66.571,53.279,29.33,22.0,10.059,23.977,0.1501,0.2101,0.2404,6.586,41.503,10.515,0.0,0.0,0.0,0.657,0.6918,0.6601,-3.235,0.6732,1.536,2.745,0.8926,0.8469,91.644,0.0004173,3.087,3.639,0.0001455,6.407e-06,0,1,0,44,34,14,64,0.1794871794871795,0.5641025641025641,0.3846153846153846,-0.0030746386786658086,-0.19797135509646308,0.08975335017294825,0.5063406895372872,0.4853989256472401
38,463_phasescrambled.jpg,512,1.0,27.471,7.947,13.455,118.249,123.623,124.267,118.871,50.621,-1.309,3.026,0.1775,0.2059,0.5143,73.003,67.764,69.97,27.471,7.713,7.22,0.2418,0.2058,0.2706,7.395,25.41,14.618,13.666,0.05859,-0.03516,0.6501,0.6724,0.6452,-4.136,0.4072,1.303,2.624,0.8765,0.8686,94.268,0.0002328,4.515,4.545,0.0001752,5.068e-06,0,1,0,50,28,24,54,0.3076923076923077,0.6410256410256411,0.33333333333333337,0.006749202851707936,-0.04878286090541262,0.0305345178624319,0.26689293049859475,0.4365191860529261
39,485_phasescrambled.jpg,512,1.0,15.569,7.344,13.501,117.631,132.307,149.615,142.05,60.922,-3.113,3.245,0.4488,0.4728,0.6994,44.476,44.258,73.158,15.569,10.551,27.657,0.2514,0.2067,0.1726,5.337,26.186,4.174,0.7812,0.0,-0.003906,0.7585,0.5799,0.5859,-3.969,0.4605,1.551,2.659,0.9182,0.8685,96.354,0.0003281,3.682,4.136,0.0002015,4.485e-06,0,1,0,53,25,26,52,0.3333333333333333,0.6794871794871795,0.3461538461538462,0.029239635745774872,-0.008398054789874543,0.06902633979791087,0.5583647370698093,0.5731286059949203
40,1590_phasescrambled.jpg,512,1.0,21.924,7.775,20.244,154.833,133.817,137.987,163.772,57.186,4.723,-14.4748,0.6532,0.2246,0.6433,56.771,56.722,51.43,21.924,3.665,8.391,0.0724,0.1669,0.2018,5.233,30.693,7.281,3.906,-0.01562,0.01172,0.7192,0.7225,0.7365,-3.65,0.6084,1.628,2.731,0.9142,0.9137,97.385,0.0002575,4.205,4.491,0.0001593,2.572e-06,0,1,0,48,30,24,54,0.3076923076923077,0.6153846153846154,0.3076923076923077,-0.01605709113495013,-0.0605018689913327,0.08790994442090097,0.35110857709758675,0.4292225477888082
41,682_phasescrambled.jpg,512,1.0,17.831,7.535,19.986,147.141,115.889,106.227,89.525,44.847,1.414,10.982,0.1132,0.3038,0.465,39.99,45.597,45.434,17.831,7.187,7.252,0.11,0.2036,0.1609,6.608,28.196,5.98,3.984,-0.003906,-0.01953,0.7328,0.7225,0.7108,-3.562,0.6346,1.758,2.75,0.9369,0.8887,97.021,0.000143,4.498,4.564,0.0001513,3.374e-06,0,1,0,48,30,28,50,0.358974358974359,0.6153846153846154,0.25641025641025644,-0.03949510730679029,-0.014889281018016676,0.07252491975775965,0.2386031913203936,0.4292225477888082
42,871_phasescrambled.jpg,512,1.0,21.75,7.756,16.621,128.03,140.932,143.312,118.123,58.146,-4.867,13.272,0.1725,0.3228,0.5972,63.04,53.892,64.882,21.75,11.445,15.644,0.18,0.2416,0.2215,7.399,19.729,9.97,14.864,-0.003906,0.07422,0.7046,0.629,0.6193,-3.611,0.588,1.572,2.728,0.8972,0.8554,92.99,0.0002062,4.283,4.514,0.0001276,4.967e-06,0,1,0,46,32,31,47,0.3974358974358974,0.5897435897435898,0.19230769230769235,-0.07987991342232842,0.0076011518760502605,0.05942659637684176,0.2710454101953201,0.4005041426910977
43,1904_phasescrambled.jpg,512,1.0,26.97,7.952,11.375,104.83,110.086,124.232,138.256,50.515,-0.1186,-8.791,0.6281,0.3501,0.5656,70.253,69.345,70.241,26.97,8.148,11.096,0.1833,0.2616,0.2648,6.464,33.581,11.886,8.043,0.01953,-0.03516,0.6166,0.6331,0.5856,-4.076,0.4684,1.278,2.586,0.8316,0.8017,92.275,0.000369,3.866,4.299,0.0002027,7.17e-06,0,1,0,49,29,25,53,0.32051282051282054,0.6282051282051282,0.30769230769230765,-0.01051344818458122,-0.04323921795504371,0.05318306270605958,0.3108629661467882,0.5624957636371596
44,1195_phasescrambled.jpg,512,1.0,13.419,7.255,12.213,96.779,108.462,106.783,59.417,44.022,-6.027,25.72,0.1796,0.4836,0.4448,39.804,32.647,23.238,13.419,4.483,16.804,0.1014,0.1929,0.1382,5.689,24.127,2.24,0.7812,0.0,-0.003906,0.6917,0.7081,0.6881,-3.985,0.4358,1.698,2.646,0.9259,0.8615,99.176,0.0002174,4.349,4.532,0.000145,4.177e-06,0,1,0,49,29,24,54,0.3076923076923077,0.6282051282051282,0.3205128205128205,-0.00465394414162118,-0.05464236494837271,0.05254439228906127,0.29865530521329803,0.36037775695882307
45,982_phasescrambled.jpg,512,1.0,23.342,7.761,9.3,89.622,142.383,149.87,132.814,60.167,-5.904,8.551,0.2749,0.2128,0.5965,62.797,58.928,71.703,23.342,5.424,11.051,0.1822,0.2016,0.237,6.596,33.119,11.837,10.626,-0.05078,0.01562,0.6405,0.6523,0.6096,-4.109,0.3736,1.323,2.514,0.8558,0.8339,94.921,0.0002796,4.438,4.525,0.0002076,5.387e-06,0,1,0,54,24,34,44,0.4358974358974359,0.6923076923076923,0.2564102564102564,-0.006233249604576441,0.0886866251997176,0.05676490698888708,0.31220725241233754,0.43662793869159433
46,113_phasescrambled.jpg,512,1.0,10.898,6.938,5.519,54.8,133.203,151.062,155.59,61.105,-5.268,-4.48,0.5259,0.1558,0.6121,32.523,27.765,28.466,10.898,2.854,3.383,0.07616,0.09579,0.1112,5.016,27.632,5.745,6.675,0.03125,0.01172,0.7032,0.7186,0.6745,-4.29,0.1791,1.384,2.53,0.8887,0.9011,95.715,0.0002928,4.356,4.514,0.0002596,2.637e-06,0,1,0,44,34,20,58,0.2564102564102564,0.5641025641025641,0.3076923076923077,-0.03823166293642605,-0.129552473136489,0.05476515806413396,0.3342955420116343,0.4364044061232434
47,1566_phasescrambled.jpg,512,1.0,19.553,7.686,29.526,173.999,81.615,114.226,39.275,43.602,-23.6435,34.827,0.2427,0.6747,0.4488,42.335,51.354,29.833,19.553,10.754,16.063,0.05455,0.22,0.2003,5.259,27.445,4.662,4.752,0.003906,0.02344,0.77,0.7477,0.7471,-2.974,0.7754,1.967,2.884,0.9514,0.9218,98.561,0.0001325,4.42,4.557,0.000123,2.164e-06,0,1,0,63,15,18,60,0.23076923076923078,0.8076923076923077,0.5769230769230769,0.1901471380227453,-0.04102819030690619,0.1029259177120155,0.29099585862806104,0.6168995721047842
