,stim,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability,Unnamed: 48,subject,block,hits,misses,false_alarms,correct_rejections,FAR,HR,distinctiveness_early,distinctiveness_mid,distinctiveness_late,bias,memorability
233,forests_20081106_00005_LD.png,1400,1.333,15.322,0.1636,8.082,59.547,0.0,248.866,248.866,248.866,97.595,-0.002396,0.004541,0.0,0.0,0.9759,39.07,39.07,39.07,15.322,0.0003761,0.000713,-0.0,0.0,0.1532,0.09543,7.616,-0.015,-0.035,13.298,0.4696,0.4612,0.4508,-1.284,-0.473,-0.4972,0.003075,1.293,2.268,0.704,0.8284,0.001047,97.196,4.063,4.404,0.0005101,2.251e-05,,5541484,936,22,56,29,119,-0.8561914485324548,-0.5767585645077979,0.014352647114471309,0.26360762264124055,0.4260864757315263,-0.2951184334109014,-0.42902631543804925
234,city_00115_LD.png,1400,1.333,26.263,0.3826,23.495,141.26,0.0,235.995,235.995,235.995,92.547,-0.002272,0.004307,0.0,0.0,0.9255,66.972,66.972,66.972,26.263,0.0006447,0.001222,-0.0,0.0,0.2626,0.6951,6.378,0.00375,0.03167,12.915,0.5877,0.5151,0.5065,-1.033,-0.4373,-0.4255,0.003901,1.642,2.765,0.715,0.8689,0.001009,97.337,4.191,4.479,0.0003117,1.71e-05,,5476095,955,29,38,24,131,-1.0158991380912257,-0.16915891919847478,0.021684729954033404,0.25255143086898824,0.46315953636163265,-0.1907221702389793,-0.003884648230251808
235,mountains_00285_LD.png,1400,1.333,10.108,0.08293,3.728,34.251,0.0,252.368,252.368,252.368,98.968,-0.00243,0.004605,0.0,0.0,0.9897,25.774,25.774,25.774,10.108,0.0002481,0.0004703,-0.0,0.0,0.1011,0.01748,24.543,-0.0325,-0.1183,12.906,0.3799,0.2491,0.2784,-1.163,-0.4887,-0.5171,0.006099,1.126,2.094,0.5371,0.7101,0.001177,96.851,4.467,4.405,0.0008918,5.192e-05,,5151077,907,26,40,16,127,-1.216548036528596,-0.2690661378543142,0.019538341952535627,0.21199478525647877,0.4048796018621628,-0.4122753847129006,0.030109556275054017
236,forests_20081106_00009_LD.png,1400,1.333,21.733,0.2851,17.328,122.699,0.0,242.326,242.326,242.326,95.03,-0.002333,0.004422,0.0,0.0,0.9503,55.419,55.419,55.419,21.733,0.0005335,0.001011,-0.0,0.0,0.2173,0.2656,9.006,0.035,0.02833,12.714,0.5581,0.5647,0.5606,-1.04,-0.4486,-0.4401,0.006395,1.528,2.578,0.7589,0.8872,0.0008875,99.49,4.374,4.535,0.0001955,8.192e-06,,5730428,1034,26,55,24,128,-1.003147967662534,-0.46493876548308033,0.01619669358284279,0.23015820780585494,0.401946173339484,-0.35076861735179055,-0.2529497894724829
237,offices_20081106_00011_LD.png,1400,1.333,22.601,0.3031,16.413,108.264,0.0,241.231,241.231,241.231,94.6,-0.002322,0.004402,0.0,0.0,0.946,57.633,57.633,57.633,22.601,0.0005548,0.001052,-0.0,0.0,0.226,0.3551,15.202,0.02,0.07333,18.602,0.4668,0.4341,0.4048,-1.197,-0.4805,-0.4518,0.004195,1.549,2.614,0.6031,0.8597,0.001129,96.418,4.126,4.448,0.0004708,3.437e-05,,5159682,943,40,32,37,101,-0.6185211142097206,0.13971029888186212,0.016714523174855018,0.17861934942445604,0.448817278630873,0.3120325400274085,0.019507424069765855
238,forests_00119_LD.png,1400,1.333,23.594,0.3241,17.652,141.299,0.0,239.912,239.912,239.912,94.083,-0.00231,0.004378,0.0,0.0,0.9408,60.164,60.164,60.164,23.594,0.0005792,0.001098,-0.0,0.0,0.2359,0.4701,4.601,-0.01875,0.01333,11.266,0.6022,0.5762,0.5696,-0.9375,-0.4488,-0.382,0.0144,1.545,2.625,0.7746,0.8716,0.001283,99.33,3.189,3.846,0.0002193,9.724e-06,,5923037,971,51,31,76,84,-0.06270677794321385,0.31060942538225567,0.02637574902143727,0.2219922768711744,0.4083562689849721,0.8647477053244788,-0.16116364137406014
239,beaches_00193_LD.png,1400,1.333,10.246,0.08481,3.37,31.404,0.0,252.294,252.294,252.294,98.939,-0.002429,0.004604,0.0,0.0,0.9894,26.127,26.127,26.127,10.246,0.0002515,0.0004768,-0.0,0.0,0.1025,0.08499,11.634,-0.04375,0.03833,19.024,0.3926,0.3307,0.3154,-1.245,-0.4722,-0.4931,0.00409,1.073,2.145,0.5442,0.7637,0.001446,87.088,3.376,4.0,0.001086,2.719e-05,,5942659,1108,22,55,22,142,-1.107002880537908,-0.5659488219328631,0.015593631921879424,0.1970992436661495,0.4558655043949235,-0.4938557614065131,-0.27564215908437933
240,offices_00621_LD.png,1400,1.333,19.527,0.241,12.362,95.795,0.0,244.874,244.874,244.874,96.029,-0.002357,0.004469,0.0,0.0,0.9603,49.795,49.795,49.795,19.527,0.0004794,0.0009087,-0.0,0.0,0.1953,0.1862,8.078,0.0375,0.015,13.021,0.4354,0.3895,0.3978,-1.197,-0.482,-0.5044,0.003292,1.424,2.399,0.6657,0.8614,0.001127,98.401,3.906,4.289,0.000501,3.101e-05,,5589191,936,43,33,32,119,-0.799775190677156,0.16566441386855307,0.0239197750025798,0.1576967722996517,0.5173193819180543,0.17886681250032443,0.1451797970599651
241,beaches_00575_LD.png,1400,1.333,17.181,0.1966,9.527,77.365,0.0,247.236,247.236,247.236,96.955,-0.00238,0.004512,0.0,0.0,0.9696,43.812,43.812,43.812,17.181,0.0004218,0.0007995,-0.0,0.0,0.1718,0.1519,36.087,0.0125,-0.18,11.527,0.6224,0.3059,0.304,-1.056,-0.4707,-0.4375,0.008749,1.432,2.305,0.4393,0.7695,0.001529,92.291,2.97,3.646,0.0006461,2.189e-05,,5677352,1046,27,49,23,131,-1.0392224351527357,-0.37114932320228394,0.02410218456272959,0.2922078885852388,0.465057852396139,-0.32619557064642235,-0.15551267096182364
242,beaches_00224_LD.png,1400,1.333,13.322,0.1305,6.12,51.428,0.0,250.391,250.391,250.391,98.192,-0.002411,0.004569,0.0,0.0,0.9819,33.972,33.972,33.972,13.322,0.0003271,0.0006199,-0.0,0.0,0.1332,0.03968,24.734,0.075,0.09833,22.352,0.3388,0.2968,0.3063,-1.188,-0.4876,-0.4922,0.004501,1.257,2.278,0.5838,0.808,0.001134,96.179,3.947,4.322,0.0008157,4.368e-05,,5570549,1023,29,44,22,132,-1.0675705238781417,-0.26044498356070356,0.012750125568871751,0.19728563991862183,0.504478314703726,-0.28555982796502155,-0.04870536144326648
